,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2523,0.1,12,05,02:45:00,2019,입산자실화,산51,지소,청송,안덕,경북,11,토요일,05,22:24:00,2019
2524,0.08,11,05,19:20:00,2019,입산자실화,산260,두미,홍천,서,강원,11,토요일,05,17:50:00,2019
2525,0.2,11,05,21:00:00,2019,입산자실화,산224,임초,가평,상,경기,11,토요일,05,15:50:00,2019
2526,0.02,11,05,17:50:00,2019,입산자실화,산38-7,용담,양평,양서,경기,11,토요일,05,15:35:00,2019
2527,0.1,11,05,16:20:00,2019,입산자실화,산82,방제,정선,신동,강원,11,토요일,05,14:36:00,2019
2528,2,11,05,21:00:00,2019,기타,산77,동두천,탑동,경기,11,토요일,05,14:24:00,2019,
2529,0.01,11,05,13:45:00,2019,입산자실화,산46-1,반계,상주,모동,경북,11,토요일,05,13:08:00,2019
2530,0.05,11,05,14:10:00,2019,입산자실화,산136외,동곡,광양,옥룡,전남,11,토요일,05,12:28:00,2019
2531,0.01,11,05,11:54:00,2019,기타,산128-48,중,운북,인천,11,토요일,05,11:31:00,2019,
2532,0.01,11,05,11:00:00,2019,입산자실화,산72,문거,청송,안덕,경북,11,토요일,05,09:35:00,2019
2533,0.06,11,05,10:12:00,2019,입산자실화,334-5,송림,화성,남양,경기,11,토요일,05,08:51:00,2019
2534,0.09,11,05,10:00:00,2019,입산자실화,118-16,화성,목,경기,11,토요일,05,05:05:00,2019,
2535,0.1,11,05,07:30:00,2019,입산자실화,산32,두산,영주,봉현,경북,10,금요일,05,23:55:00,2019
2536,0.3,10,05,20:00:00,2019,입산자실화,산39-1,궁항,진안,부귀,전북,10,금요일,05,16:33:00,2019
2537,0.06,10,05,12:10:00,2019,입산자실화,430-2(임),송림,화성,남양,경기,10,금요일,05,10:50:00,2019
2538,0.03,10,05,12:00:00,2019,입산자실화,산144-1,중,다운,울산,10,금요일,05,10:21:00,2019,
2539,0.54,10,05,12:00:00,2019,기타,산1외 1,구성,고성,죽왕,강원,10,금요일,05,09:34:00,2019
2540,0.4,09,05,00:00:00,2019,기타,산9-1,서,시천,인천,09,목요일,05,20:45:00,2019,
2541,0.02,09,05,20:40:00,2019,입산자실화,산19-84,신암,영양,수비,경북,09,목요일,05,19:11:00,2019
2542,0.01,09,05,12:54:00,2019,기타,산28-3,백석,파주,파주,경기,09,목요일,05,12:09:00,2019
2543,0.06,09,05,13:00:00,2019,입산자실화,산28-1,보령,죽정,충남,09,목요일,05,11:40:00,2019,
2544,0.2,09,05,06:46:00,2019,기타,산39,대신,청주 상당,미원,충북,09,목요일,05,03:55:00,2019
2545,0.01,08,05,19:50:00,2019,기타,산66-1,상동,가평,상,경기,08,수요일,05,18:55:00,2019
2546,0.01,08,05,13:20:00,2019,기타,산48-4,문봉,고양 일산동,경기,08,수요일,05,12:12:00,2019,
2547,0.03,08,05,15:00:00,2019,입산자실화,산82-1,동,동부,울산,08,수요일,05,11:28:00,2019,
2548,0.09,08,05,07:00:00,2019,입산자실화,산60,화성,목,경기,08,수요일,05,04:59:00,2019,
2549,0.01,07,05,17:40:00,2019,기타,600.0,임초,가평,상,경기,07,화요일,05,16:33:00,2019
2550,1.5,07,05,18:30:00,2019,기타,산116-1,중암,여주,북내,경기,07,화요일,05,16:07:00,2019
2551,1.3,07,05,18:30:00,2019,기타,산53,풍암,홍천,서석,강원,07,화요일,05,15:40:00,2019
2552,1,07,05,14:30:00,2019,기타,산156,가양,포천,창수,경기,07,화요일,05,11:59:00,2019
2553,1.5,07,05,18:00:00,2019,입산자실화,산1-1,품걸,춘천,동,강원,07,화요일,05,11:47:00,2019
2554,0.09,07,05,11:38:00,2019,기타,산7-1,동두천,상패,경기,07,화요일,05,10:06:00,2019,
2555,0.1,06,05,19:20:00,2019,입산자실화,산187-1,흥양,원주,소초,강원,06,월요일,05,17:50:00,2019
2556,0.5,06,05,16:50:00,2019,쓰레기소각,산4-1,설계,영동,영동,충북,06,월요일,05,14:37:00,2019
2557,0.01,06,05,17:05:00,2019,입산자실화,산72,보석,군산,임피,전북,06,월요일,05,14:10:00,2019
2558,0.02,06,05,14:58:00,2019,입산자실화,산317-1,군업,홍천,화촌,강원,06,월요일,05,14:08:00,2019
2559,0.05,06,05,17:00:00,2019,입산자실화,산40-1,기산,장흥,안양,전남,06,월요일,05,13:55:00,2019
2560,0.05,06,05,18:00:00,2019,입산자실화,산162,범왕,하동,화개,경남,06,월요일,05,13:44:00,2019
2561,0.2,06,05,15:10:00,2019,입산자실화,산4-17,월호,서천,서,충남,06,월요일,05,13:18:00,2019
2562,0.15,06,05,13:50:00,2019,쓰레기소각,산155,갈운,양평,청운,경기,06,월요일,05,11:38:00,2019
2563,0.01,06,05,15:30:00,2019,입산자실화,산71-2,임평,장수,계북,전북,06,월요일,05,10:45:00,2019
2564,0.03,06,05,11:25:00,2019,입산자실화,산6,산수,서산,해미,충남,06,월요일,05,10:19:00,2019
2565,0.02,05,05,19:00:00,2019,입산자실화,산23,사상,괘법,부산,05,일요일,05,18:20:00,2019,
2566,5.2,05,05,22:00:00,2019,기타,산21,소치,인제,남,강원,05,일요일,05,14:25:00,2019
2567,0.15,05,05,12:30:00,2019,입산자실화,산222,삽교,횡성,둔내,강원,05,일요일,05,11:40:00,2019
2568,0.05,05,05,04:45:00,2019,입산자실화,산1-1,춘천,석사,강원,05,일요일,05,03:22:00,2019,
2569,0.01,04,05,15:15:00,2019,입산자실화,산89-1(임),무갑,광주,초월,경기,04,토요일,05,14:10:00,2019
2570,0.16,04,05,14:30:00,2019,기타,산150-2임,남포,옹진,백령,인천,04,토요일,05,13:10:00,2019
2571,0.05,03,05,16:01:00,2019,입산자실화,산1-1,춘천,석사,강원,03,금요일,05,14:44:00,2019,
2572,0.5,03,05,16:00:00,2019,기타,산6-2,대자,고양 덕양,경기,03,금요일,05,12:04:00,2019,
2573,0.01,03,05,12:00:00,2019,입산자실화,산10,모화,경주,외동,경북,03,금요일,05,11:00:00,2019
2574,0.03,02,05,17:10:00,2019,건축물화재비화,산21,유현,횡성,성원,강원,02,목요일,05,16:28:00,2019
2575,0.2,02,05,16:25:00,2019,입산자실화,287-5,강촌,춘천,남산,강원,02,목요일,05,14:21:00,2019
2576,0.02,21,02,00:10:00,2021,입산자실화,산24-10,방하,의성,단촌,경북,20,토요일,02,22:52:00,2021
2577,0.01,20,02,17:45:00,2021,기타,산68-1,교로,당진,석문,충남,20,토요일,02,16:50:00,2021
2578,12,22,02,03:00:00,2021,기타,산1,구절,정선,여량,강원,20,토요일,02,15:50:00,2021
2579,0.5,20,02,19:00:00,2021,입산자실화,산1-38,다목,화천,상사,강원,20,토요일,02,13:13:00,2021
2580,0.1,19,02,14:00:00,2021,입산자실화,산32,화동,여수,화양,전남,19,금요일,02,11:20:00,2021
2581,6.5,19,02,10:00:00,2021,기타,18-3외 36필지,사천,양양,양양,강원,18,목요일,02,22:30:00,2021
2582,0.4,18,02,18:00:00,2021,건축물화재비화,산83-2,금산,강릉,성산,강원,18,목요일,02,14:56:00,2021
2583,0.02,16,02,21:30:00,2021,기타,산229-3,봉림,김해,생림,경남,16,화요일,02,20:24:00,2021
2584,1,16,02,19:20:00,2021,입산자실화,산44외 5필지,산계,강릉,옥계,강원,16,화요일,02,14:34:00,2021
2585,0.04,16,02,13:30:00,2021,농산부산물소각,산432,두산,울주,범서,울산,16,화요일,02,11:53:00,2021
2586,0.08,15,02,17:02:00,2021,기타,산85,대대,용인,처인,경기,15,월요일,02,15:55:00,2021
2587,0.01,14,02,15:40:00,2021,기타,산4-2,삼리,달성,논공,대구,14,일요일,02,14:21:00,2021
2588,0.06,14,02,14:00:00,2021,쓰레기소각,산96-1,도전,여주,강천,경기,14,일요일,02,11:30:00,2021
2589,0.1,13,02,17:20:00,2021,기타,산198,세동,고흥,포두,전남,13,토요일,02,15:50:00,2021
2590,0.09,13,02,18:00:00,2021,입산자실화,산39-1,자곡,강남,서울,13,토요일,02,14:01:00,2021,
2591,0.1,13,02,17:20:00,2021,기타,산168,도정,순천,송주,전남,13,토요일,02,13:51:00,2021
2592,0.8,13,02,16:00:00,2021,기타,산32,가산,남원,문봉,전북,13,토요일,02,13:30:00,2021
2593,0.02,12,02,18:23:00,2021,기타,산100-1,맥금,파주,경기,12,금요일,02,17:54:00,2021,
2594,0.06,12,02,17:50:00,2021,쓰레기소각,201.0,무왕,양평,지평,경기,12,금요일,02,16:37:00,2021
2595,0.01,12,02,18:10:00,2021,기타,산236-1,한운,신안,안좌,전남,12,금요일,02,15:52:00,2021
2596,0.02,12,02,17:00:00,2021,기타,산117-1,나대,합천,야로,경남,12,금요일,02,15:36:00,2021
2597,0.02,12,02,15:48:00,2021,쓰레기소각,산2-4,동백,용인,기흥,경기,12,금요일,02,15:17:00,2021
2598,0.1,12,02,15:30:00,2021,기타,산66,오로,의성,의성,경북,12,금요일,02,13:40:00,2021
